APMC,Commodity,Year,Month,arrivals_in_qtl,min_price,max_price,modal_price,date,district_name,state_name,APMC/Commodity,deseasonalise_price,seasonality_type
Akluj,Brinjal,2015,March,145,525,881,719,01-03-2015,Solapur,Maharashtra,"Akluj,Brinjal",1774.259111,multiplicative
Akluj,Brinjal,2016,March,108,1267,2213,2213,01-03-2016,Solapur,Maharashtra,"Akluj,Brinjal",1819.230844,multiplicative
Akluj,Brinjal,2015,May,98,1138,1808,1523,01-05-2015,Solapur,Maharashtra,"Akluj,Brinjal",1877.349394,multiplicative
Akluj,Brinjal,2016,May,147,1129,2082,2053,01-05-2016,Solapur,Maharashtra,"Akluj,Brinjal",1961.080187,multiplicative
Akluj,Brinjal,2014,November,92,2865,4253,3794,01-11-2014,Solapur,Maharashtra,"Akluj,Brinjal",2908.070112,multiplicative
Akluj,Brinjal,2015,November,112,1107,1947,1947,01-11-2015,Solapur,Maharashtra,"Akluj,Brinjal",2688.379213,multiplicative
Akluj,Brinjal,2014,October,90,1469,2342,1931,01-10-2014,Solapur,Maharashtra,"Akluj,Brinjal",2160.934044,multiplicative
Akluj,Brinjal,2015,October,139,1019,1844,1844,01-10-2015,Solapur,Maharashtra,"Akluj,Brinjal",1990.528031,multiplicative
Akluj,Brinjal,2016,October,105,1942,3189,2684,01-10-2016,Solapur,Maharashtra,"Akluj,Brinjal",2234.98018,multiplicative
Akluj,Brinjal,2014,September,171,1546,2323,1944,01-09-2014,Solapur,Maharashtra,"Akluj,Brinjal",2669.763416,multiplicative
Akluj,Brinjal,2015,September,256,929,1588,1588,01-09-2015,Solapur,Maharashtra,"Akluj,Brinjal",1683.573477,multiplicative
Akluj,Brinjal,2016,September,126,1162,2038,1686,01-09-2016,Solapur,Maharashtra,"Akluj,Brinjal",2473.393657,multiplicative
Akluj,Cabbage,2015,April,102,250,550,394,01-04-2015,Solapur,Maharashtra,"Akluj,Cabbage",604.1623478,multiplicative
Akluj,Cabbage,2016,April,90,344,744,733,01-04-2016,Solapur,Maharashtra,"Akluj,Cabbage",577.1067548,multiplicative
Akluj,Cabbage,2015,August,213,584,942,942,01-08-2015,Solapur,Maharashtra,"Akluj,Cabbage",665.3083461,multiplicative
Akluj,Cabbage,2016,August,291,932,1500,1500,01-08-2016,Solapur,Maharashtra,"Akluj,Cabbage",457.2199816,multiplicative
Akluj,Cabbage,2014,December,133,300,682,488,01-12-2014,Solapur,Maharashtra,"Akluj,Cabbage",563.0504724,multiplicative
Akluj,Cabbage,2015,December,147,429,835,835,01-12-2015,Solapur,Maharashtra,"Akluj,Cabbage",875.3045212,multiplicative
Akluj,Cabbage,2015,February,56,420,790,640,01-02-2015,Solapur,Maharashtra,"Akluj,Cabbage",673.0390476,multiplicative
Akluj,Cabbage,2016,February,138,333,647,647,01-02-2016,Solapur,Maharashtra,"Akluj,Cabbage",540.8719319,multiplicative
Akluj,Cabbage,2015,January,99,379,774,579,01-01-2015,Solapur,Maharashtra,"Akluj,Cabbage",651.7809269,multiplicative
Akluj,Cabbage,2016,January,144,475,856,856,01-01-2016,Solapur,Maharashtra,"Akluj,Cabbage",669.2805967,multiplicative
Akluj,Cabbage,2015,July,114,482,827,827,01-07-2015,Solapur,Maharashtra,"Akluj,Cabbage",694.794134,multiplicative
Akluj,Cabbage,2016,July,252,938,1552,1552,01-07-2016,Solapur,Maharashtra,"Akluj,Cabbage",706.4060645,multiplicative
Akluj,Cabbage,2015,June,82,553,867,800,01-06-2015,Solapur,Maharashtra,"Akluj,Cabbage",712.0484814,multiplicative
Akluj,Cabbage,2016,June,216,795,1300,1300,01-06-2016,Solapur,Maharashtra,"Akluj,Cabbage",731.2654085,multiplicative
Akluj,Cabbage,2015,March,87,377,685,546,01-03-2015,Solapur,Maharashtra,"Akluj,Cabbage",753.5079795,multiplicative
Akluj,Cabbage,2016,March,135,338,677,677,01-03-2016,Solapur,Maharashtra,"Akluj,Cabbage",782.3333702,multiplicative
Akluj,Cabbage,2015,May,60,385,685,538,01-05-2015,Solapur,Maharashtra,"Akluj,Cabbage",832.420042,multiplicative
Akluj,Cabbage,2016,May,128,350,743,743,01-05-2016,Solapur,Maharashtra,"Akluj,Cabbage",884.8781644,multiplicative
Akluj,Cabbage,2014,November,117,480,787,611,01-11-2014,Solapur,Maharashtra,"Akluj,Cabbage",834.5191121,multiplicative
Akluj,Cabbage,2015,November,112,331,692,692,01-11-2015,Solapur,Maharashtra,"Akluj,Cabbage",1006.241437,multiplicative
Akluj,Cabbage,2014,October,175,400,725,584,01-10-2014,Solapur,Maharashtra,"Akluj,Cabbage",900.1361128,multiplicative
Akluj,Cabbage,2015,October,130,400,740,740,01-10-2015,Solapur,Maharashtra,"Akluj,Cabbage",1087.58097,multiplicative
Akluj,Cabbage,2016,October,331,278,561,433,01-10-2016,Solapur,Maharashtra,"Akluj,Cabbage",1303.894191,multiplicative
Akluj,Cabbage,2014,September,211,543,886,700,01-09-2014,Solapur,Maharashtra,"Akluj,Cabbage",1124.850421,multiplicative
Akluj,Cabbage,2015,September,144,475,842,825,01-09-2015,Solapur,Maharashtra,"Akluj,Cabbage",438.4492467,multiplicative
Akluj,Cabbage,2016,September,249,325,673,508,01-09-2016,Solapur,Maharashtra,"Akluj,Cabbage",427.8890836,multiplicative
Akluj,Chikoo,2015,April,583,1172,1861,1567,01-04-2015,Solapur,Maharashtra,"Akluj,Chikoo",1564.107639,Additive
Akluj,Chikoo,2016,April,189,1429,2800,2800,01-04-2016,Solapur,Maharashtra,"Akluj,Chikoo",1519.857639,Additive
Akluj,Chikoo,2015,August,330,1853,2747,2747,01-08-2015,Solapur,Maharashtra,"Akluj,Chikoo",1910.982639,Additive
Akluj,Chikoo,2016,August,236,2024,3443,3443,01-08-2016,Solapur,Maharashtra,"Akluj,Chikoo",2653.982639,Additive
Akluj,Chikoo,2014,December,192,2041,2894,2524,01-12-2014,Solapur,Maharashtra,"Akluj,Chikoo",1950.982639,Additive
Akluj,Chikoo,2015,December,336,1744,2822,2822,01-12-2015,Solapur,Maharashtra,"Akluj,Chikoo",1975.732639,Additive
Akluj,Chikoo,2015,February,198,1525,2113,1825,01-02-2015,Solapur,Maharashtra,"Akluj,Chikoo",2138.524306,Additive
Akluj,Chikoo,2016,February,393,1480,2880,2880,01-02-2016,Solapur,Maharashtra,"Akluj,Chikoo",2040.399306,Additive
Akluj,Chikoo,2015,January,438,1511,2311,1922,01-01-2015,Solapur,Maharashtra,"Akluj,Chikoo",2381.565972,Additive
Akluj,Chikoo,2016,January,290,1838,2963,2963,01-01-2016,Solapur,Maharashtra,"Akluj,Chikoo",2433.649306,Additive
Akluj,Chikoo,2015,July,155,1718,2636,2636,01-07-2015,Solapur,Maharashtra,"Akluj,Chikoo",2489.440972,Additive
Akluj,Chikoo,2016,July,285,1585,2870,2870,01-07-2016,Solapur,Maharashtra,"Akluj,Chikoo",2576.774306,Additive
Akluj,Chikoo,2015,June,386,1725,2494,2250,01-06-2015,Solapur,Maharashtra,"Akluj,Chikoo",2661.107639,Additive
Akluj,Chikoo,2016,June,282,1657,2976,2976,01-06-2016,Solapur,Maharashtra,"Akluj,Chikoo",2752.857639,Additive
Akluj,Chikoo,2015,March,435,1185,1977,1600,01-03-2015,Solapur,Maharashtra,"Akluj,Chikoo",2862.982639,Additive
Akluj,Chikoo,2016,March,518,1213,2569,2569,01-03-2016,Solapur,Maharashtra,"Akluj,Chikoo",2951.982639,Additive
Akluj,Chikoo,2015,May,310,1358,1858,1625,01-05-2015,Solapur,Maharashtra,"Akluj,Chikoo",2991.982639,Additive
Akluj,Chikoo,2016,May,393,1618,3035,3035,01-05-2016,Solapur,Maharashtra,"Akluj,Chikoo",3030.732639,Additive
Akluj,Chikoo,2014,November,245,2113,2907,2510,01-11-2014,Solapur,Maharashtra,"Akluj,Chikoo",3107.524306,Additive
Akluj,Chikoo,2015,November,125,2038,3462,3462,01-11-2015,Solapur,Maharashtra,"Akluj,Chikoo",3273.399306,Additive
Akluj,Chikoo,2014,October,117,1825,2650,2300,01-10-2014,Solapur,Maharashtra,"Akluj,Chikoo",3791.565972,Additive
Akluj,Chikoo,2015,October,124,1953,3533,3533,01-10-2015,Solapur,Maharashtra,"Akluj,Chikoo",3159.649306,Additive
Akluj,Chikoo,2016,October,14,2000,4500,3000,01-10-2016,Solapur,Maharashtra,"Akluj,Chikoo",2723.440972,Additive
Akluj,Chikoo,2014,September,161,1680,2620,2130,01-09-2014,Solapur,Maharashtra,"Akluj,Chikoo",3272.774306,Additive
Akluj,Chikoo,2015,September,165,1900,3227,3227,01-09-2015,Solapur,Maharashtra,"Akluj,Chikoo",2490.107639,Additive
Akluj,Chikoo,2016,September,60,2222,3667,3056,01-09-2016,Solapur,Maharashtra,"Akluj,Chikoo",2219.857639,Additive
Akluj,Chillies(Red),2015,April,318,2120,3133,2667,01-04-2015,Solapur,Maharashtra,"Akluj,Chillies(Red)",3162.61814,multiplicative
Akluj,Chillies(Red),2016,April,36,5333,7333,7333,01-04-2016,Solapur,Maharashtra,"Akluj,Chillies(Red)",3403.794206,multiplicative
Akluj,Chillies(Red),2015,August,196,2318,3636,3636,01-08-2015,Solapur,Maharashtra,"Akluj,Chillies(Red)",3498.737876,multiplicative
Akluj,Chillies(Red),2016,August,159,2900,5550,5550,01-08-2016,Solapur,Maharashtra,"Akluj,Chillies(Red)",3264.780321,multiplicative
Akluj,Chillies(Red),2014,December,472,1688,2641,2171,01-12-2014,Solapur,Maharashtra,"Akluj,Chillies(Red)",2856.52549,multiplicative
Akluj,Chillies(Red),2015,December,26,1500,2500,2500,01-12-2015,Solapur,Maharashtra,"Akluj,Chillies(Red)",3255.544172,multiplicative
Akluj,Chillies(Red),2015,February,259,2250,3600,2840,01-02-2015,Solapur,Maharashtra,"Akluj,Chillies(Red)",2691.62845,multiplicative
Akluj,Chillies(Red),2015,January,472,1974,3311,2653,01-01-2015,Solapur,Maharashtra,"Akluj,Chillies(Red)",2564.571401,multiplicative
Akluj,Chillies(Red),2015,July,10,1500,2000,2000,01-07-2015,Solapur,Maharashtra,"Akluj,Chillies(Red)",2550.328597,multiplicative
Akluj,Chillies(Red),2016,July,174,4200,7100,7100,01-07-2016,Solapur,Maharashtra,"Akluj,Chillies(Red)",2560.502028,multiplicative
Akluj,Chillies(Red),2015,June,77,2750,3875,3375,01-06-2015,Solapur,Maharashtra,"Akluj,Chillies(Red)",2616.00375,multiplicative
Akluj,Chillies(Red),2016,June,91,4625,7000,7000,01-06-2016,Solapur,Maharashtra,"Akluj,Chillies(Red)",2695.16812,multiplicative
Akluj,Chillies(Red),2015,March,285,2773,3900,3353,01-03-2015,Solapur,Maharashtra,"Akluj,Chillies(Red)",2802.70506,multiplicative
Akluj,Chillies(Red),2016,March,66,3875,5250,5250,01-03-2016,Solapur,Maharashtra,"Akluj,Chillies(Red)",3049.994808,multiplicative
Akluj,Chillies(Red),2015,May,90,2460,3500,2980,01-05-2015,Solapur,Maharashtra,"Akluj,Chillies(Red)",3424.377093,multiplicative
Akluj,Chillies(Red),2016,May,97,5667,8250,8250,01-05-2016,Solapur,Maharashtra,"Akluj,Chillies(Red)",3759.535147,multiplicative
Akluj,Chillies(Red),2014,November,428,2253,3365,2776,01-11-2014,Solapur,Maharashtra,"Akluj,Chillies(Red)",4088.287706,multiplicative
Akluj,Chillies(Red),2015,November,80,1617,2717,2717,01-11-2015,Solapur,Maharashtra,"Akluj,Chillies(Red)",4352.570853,multiplicative
Akluj,Chillies(Red),2014,October,252,2323,3569,3069,01-10-2014,Solapur,Maharashtra,"Akluj,Chillies(Red)",4214.449557,multiplicative
Akluj,Chillies(Red),2015,October,25,1500,2750,2750,01-10-2015,Solapur,Maharashtra,"Akluj,Chillies(Red)",7051.369361,multiplicative
Akluj,Chillies(Red),2014,September,343,2507,3486,3014,01-09-2014,Solapur,Maharashtra,"Akluj,Chillies(Red)",7060.473464,multiplicative
Akluj,Chillies(Red),2015,September,123,1714,2671,2671,01-09-2015,Solapur,Maharashtra,"Akluj,Chillies(Red)",5310.670874,multiplicative
Akluj,Chillies(Red),2016,September,120,1117,2000,1683,01-09-2016,Solapur,Maharashtra,"Akluj,Chillies(Red)",9286.813313,multiplicative
Akluj,Garlic,2015,April,78,2658,3842,3237,01-04-2015,Solapur,Maharashtra,"Akluj,Garlic",3926.824143,multiplicative
Akluj,Garlic,2016,April,87,4722,6167,6167,01-04-2016,Solapur,Maharashtra,"Akluj,Garlic",5658.464639,multiplicative
Akluj,Garlic,2015,August,71,3816,5684,5684,01-08-2015,Solapur,Maharashtra,"Akluj,Garlic",4056.958975,multiplicative
Akluj,Garlic,2016,August,154,8240,10880,10880,01-08-2016,Solapur,Maharashtra,"Akluj,Garlic",1770.934671,multiplicative
Akluj,Garlic,2014,December,63,2133,3247,2667,01-12-2014,Solapur,Maharashtra,"Akluj,Garlic",1688.726226,multiplicative
Akluj,Garlic,2015,December,72,8789,11816,11816,01-12-2015,Solapur,Maharashtra,"Akluj,Garlic",2734.707302,multiplicative
